iter	RMSE
0	494.7807551
1	479.3827029
2	465.4959722
3	453.1977995
4	441.612762
5	432.1555588
6	423.0502469
7	415.382992
8	408.3419081
9	401.6975081
10	396.2915226
11	390.5580277
12	385.2788538
13	380.6975505
14	375.9776568
15	371.7841243
16	367.9824819
17	364.4198993
18	361.4385958
19	358.9105104
20	356.3314578
21	354.3434604
22	351.949968
23	350.2851744
24	348.4344012
25	346.7519465
26	345.4599079
27	344.2722948
28	343.0807898
29	341.0094523
30	339.4508234
31	338.2931122
32	337.3061799
33	335.7275577
34	334.7002805
35	333.7767116
36	333.1152143
37	332.492101
38	331.7357507
39	330.8632615
40	330.0519698
41	329.2015367
42	328.7127015
43	327.6908463
44	327.0788438
45	326.6383633
46	326.1219893
47	325.4229175
48	325.0625755
49	324.5615596
50	324.3106555
51	323.8535421
52	323.5768108
53	322.9753385
54	322.4405849
