iter	Passed	Remaining
0	899	2696169
1	1714	2570407
2	2428	2426266
3	3215	2408432
4	3951	2366998
5	4697	2344253
6	5395	2307100
7	6091	2278407
8	6873	2284354
9	7611	2275942
10	8431	2290937
11	9221	2296214
12	9997	2297211
13	10611	2263303
14	11345	2257835
15	11888	2217239
16	12635	2217185
17	13311	2205283
18	13949	2188558
19	14703	2190873
20	15469	2194502
21	16228	2196802
22	17029	2204238
23	17813	2208883
24	18569	2209742
25	19238	2200641
26	19908	2192154
27	20602	2186817
28	21334	2185663
29	22126	2190509
30	22917	2194879
31	23683	2196674
32	24363	2190502
33	25188	2197368
34	25899	2194023
35	26668	2195718
36	27434	2197007
37	28186	2197044
38	28877	2192472
39	29654	2194426
40	30439	2196859
41	31199	2197343
42	31981	2199314
43	32619	2191451
44	33400	2193281
45	34071	2187976
46	34769	2184584
47	35487	2182472
48	36188	2179431
49	36846	2173970
50	37668	2178139
51	38290	2170774
52	39080	2173009
53	39779	2170174
54	40596	2173777
